date,title,artist,rank,peakPos,lastPos,isNew,weeks
2025-01-04,All I Want For Christmas Is You,Mariah Carey,1,1,1,False,71
2025-01-04,Rockin' Around The Christmas Tree,Brenda Lee,2,1,2,False,64
2025-01-04,Last Christmas,Wham!,3,3,3,False,45
2025-01-04,Jingle Bell Rock,Bobby Helms,4,3,4,False,61
2025-01-04,Santa Tell Me,Ariana Grande,5,5,9,False,29
2025-01-04,A Holly Jolly Christmas,Burl Ives,6,4,5,False,45
2025-01-04,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,7,False,45
2025-01-04,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,7,8,False,36
2025-01-04,Underneath The Tree,Kelly Clarkson,9,9,10,False,32
2025-01-04,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",10,9,14,False,49
2025-01-04,Feliz Navidad,Jose Feliciano,11,6,16,False,37
2025-01-04,It's Beginning To Look A Lot Like Christmas,Michael Buble,12,12,15,False,24
2025-01-04,Sleigh Ride,The Ronettes,13,8,17,False,33
2025-01-04,Run Rudolph Run,Chuck Berry,14,10,21,False,26
2025-01-04,Christmas (Baby Please Come Home),Darlene Love,15,15,23,False,26
2025-01-04,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,16,12,24,False,27
2025-01-04,Die With A Smile,Lady Gaga & Bruno Mars,17,2,6,False,19
2025-01-04,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,18,16,27,False,18
2025-01-04,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,19,12,28,False,39
2025-01-04,Deck The Halls,Nat King Cole,20,16,31,False,17
2025-01-04,Blue Christmas,Elvis Presley,21,18,36,False,16
2025-01-04,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,22,20,37,False,12
2025-01-04,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,23,21,35,False,24
2025-01-04,A Bar Song (Tipsy),Shaboozey,24,1,13,False,37
2025-01-04,Little Saint Nick,The Beach Boys,25,25,43,False,11
2025-01-04,Wonderful Christmastime,Paul McCartney,26,26,39,False,16
2025-01-04,Luther,Kendrick Lamar & SZA,27,3,11,False,5
2025-01-04,Birds Of A Feather,Billie Eilish,28,2,18,False,32
2025-01-04,Please Come Home For Christmas,Eagles,29,18,49,False,17
2025-01-04,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,30,16,48,False,29
2025-01-04,Christmastime Is Here,Vince Guaraldi Trio,31,31,46,False,7
2025-01-04,TV Off,Kendrick Lamar Featuring Lefty Gunplay,32,2,12,False,5
2025-01-04,That's So True,Gracie Abrams,33,6,19,False,10
2025-01-04,APT.,ROSE & Bruno Mars,34,8,22,False,10
2025-01-04,This Christmas,Donny Hathaway,35,34,0,False,6
2025-01-04,Baby It's Cold Outside,Dean Martin,36,36,0,False,2
2025-01-04,Holly Jolly Christmas,Michael Buble,37,37,0,True,1
2025-01-04,Merry Christmas,Ed Sheeran & Elton John,38,38,0,False,8
2025-01-04,Like It's Christmas,Jonas Brothers,39,39,50,False,9
2025-01-04,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,40,31,0,False,13
2025-01-04,Taste,Sabrina Carpenter,41,2,26,False,18
2025-01-04,Mistletoe,Justin Bieber,42,11,0,False,14
2025-01-04,Snowman,Sia,43,43,0,True,1
2025-01-04,Squabble Up,Kendrick Lamar,44,1,20,False,5
2025-01-04,30 For 30,SZA With Kendrick Lamar,45,45,0,True,1
2025-01-04,Espresso,Sabrina Carpenter,46,3,30,False,37
