part,week,date,tue_activity,tue_video,thu_activity,thu_video,lab,potw,project,project_due,exam,exam_available,exam_practice
TBD,01,2026-09-07,,,,,,,,,,,
TBD,02,2026-09-14,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631211/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631221/,,,,,
TBD,03,2026-09-21,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631212/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631223/,,,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722892/
TBD,04,2026-09-28,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631213/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631224/,,,EX1,2026-10-01,
TBD,05,2026-10-05,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631214/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631225/,,,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722893/
TBD,06,2026-10-12,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631215/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631226/,,,EX2,2026-10-15,
Reading,07,2026-10-19,,,,,,,,,,,
TBD,08,2026-10-26,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631216/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631227/,[Project 1](https://us.prairielearn.com/pl/course_instance/202804/assessment/2645861/),2026-10-26,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722894/
TBD,09,2026-11-02,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631217/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631228/,,,EX3,2026-11-05,
TBD,10,2026-11-09,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631218/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631229/,,,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722895/
TBD,11,2026-11-16,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631219/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631230/,[Project 2](https://us.prairielearn.com/pl/course_instance/202804/assessment/2652557/),2026-11-16,EX4,2026-11-19,
TBD,12,2026-11-23,,,,,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631220/,https://us.prairielearn.com/pl/course_instance/202804/assessment/2631222/,,,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722896/
TBD,13,2026-11-30,,,,,,,,,EX5,2026-12-03,
TBD,14,2026-12-07,,,,,,,[Project 3](https://us.prairielearn.com/pl/course_instance/202804/assessment/2665559/),2026-12-07,,,https://us.prairielearn.com/pl/course_instance/228149/assessment/2722897/
